Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.62,3.35,1.19,0.124,B9III,16.245224,0
8.09,1.91,1.16,1.304,K3III,14.495167,0
9.08,1.56,0.89,1.031,G8III/IV,15.045623,1
9.93,-0.02,1.58,1.054,F6Ib-G2Ib,6.43515,0
7.97,10.51,1.04,0.376,A9II,18.078012,0
9.5,6.19,1.32,0.54,F7V,18.458454,1
6.95,7.17,0.84,1.06,K0III-IV,16.227596,1
8.3,14.6,0.75,0.619,G0V,19.121765,1
12.23,35.36,30.29,1.436,K7V:,24.97256,1
9.46,4.77,1.47,0.944,G8/K0III,17.852592,0
7.86,3.85,0.96,1.153,G8III,15.787304,0
7.39,5.17,0.92,1.077,K0III,15.957453,0
8.86,6.03,1.27,0.348,A7V,17.761585,1
8.08,2.94,1.11,0.221,B1:V:pe,15.421737,1
8.79,4.21,1.16,1.127,K2III,16.911411,0
8.96,2.42,1.13,1.445,K3III,15.879077,0
8.44,7.04,1.3,0.533,F7V,17.677864,1
8.51,14.57,5.84,0.64,G3V,19.327297,1
8.93,2.39,1.34,0.956,G8/K0IV,15.82199,1
5.7,13.25,0.71,1.005,K0IV,16.311077,1
6.99,1.98,0.75,1.59,M3III,13.473326,0
8.91,-0.02,1.11,0.996,G8/K0III,5.4151497,0
7.99,5.68,1.9,0.475,F5V,16.761742,1
8.78,3.5,1.02,0.576,F6V,16.50034,1
6.19,5.64,0.75,1.546,M4III,14.946396,0
8.55,3.72,0.9,1.012,K0III,16.402714,0
8.19,1.79,0.99,1.08,K1III,14.454265,0
8.69,1.91,1.17,0.256,B2III,15.095167,0
6.13,4.67,0.77,1.652,M1III,14.476584,0
9.15,10.22,1.32,0.483,F6V,19.197254,1
8.74,4.71,1.25,0.4,F2V,17.105104,1
8.67,12.22,1.1,0.7,G5V,19.105356,1
6.28,13.74,0.98,0.763,G3IV,16.969934,1
6.52,7.17,0.78,1.05,K1III,15.797596,0
7.35,7.21,0.93,0.505,F8V,16.639675,1
9.78,-0.95,1.96,0.504,F6V,14.668617,1
9.06,11.76,1.09,0.586,G2V,19.412037,1
8.36,16.71,0.99,0.591,G0V,19.474882,1
6.66,12.9,0.9,0.457,F3/F5V,17.212948,1
7.36,4.54,1.0,1.029,K0III,15.645279,0
9.32,7.66,1.38,0.546,F7V,18.741142,1
7.5,13.52,1.04,0.461,F5V,18.154884,1
5.24,13.06,0.59,0.356,F2III,15.8197155,0
9.6,1.52,1.75,0.496,F5/F6V,15.509218,1
9.89,7.72,1.63,0.609,G0V,19.328087,1
9.53,3.89,1.42,1.203,K1/K2III:,17.479748,0
8.46,7.55,1.08,0.438,F3V,17.849735,1
9.34,10.46,1.33,0.695,G5V,19.437658,1
9.09,14.06,1.33,0.617,G2/G3V,19.829927,1
9.21,4.86,1.38,0.784,G6V,17.64318,1
7.37,5.52,0.93,0.955,G8II-III,16.079697,0
6.92,1.12,0.62,2.04,K2Ib-II,12.16609,0
8.94,3.23,1.58,0.801,K1:III+...,16.486012,0
4.68,15.96,0.68,0.991,K0III,15.695166,0
8.96,5.89,1.34,0.503,F5V,17.810577,1
9.54,4.08,1.99,1.374,K2III:,17.5933,0
6.35,5.28,0.96,-0.044,B9Vn,14.963169,1
8.94,6.56,1.21,1.016,K1III,18.024519,0
7.42,10.16,0.93,0.362,F3IV-V,17.454468,1
8.35,3.77,0.86,1.004,G6III,16.231709,0
7.77,1.25,1.01,1.604,K5III,13.25455,0
8.57,2.61,1.09,0.934,G5III,15.653202,0
7.34,0.57,1.01,1.474,K3III,11.119374,0
6.51,0.95,0.92,1.864,M2III:,11.398619,0
9.38,5.23,0.93,0.478,F3V,17.972507,1
8.27,7.54,0.79,0.879,K0IV,17.656857,1
9.08,6.53,1.26,0.315,A9IV/V,18.154566,1
8.02,2.81,0.78,1.223,K2III,15.263533,0
9.04,8.65,2.57,0.607,K1/2III: +F,18.725079,0
9.67,1.73,1.42,0.532,F5V,15.86023,1
7.86,4.29,0.96,1.02,K0III,16.022287,0
8.84,17.08,1.86,0.833,K1V,20.00244,1
4.86,5.95,0.72,1.634,M2/M3III,13.732584,0
7.86,5.02,0.94,1.012,G8III-IV,16.36352,1
9.35,7.85,2.32,0.244,B9III,18.824348,0
6.47,5.77,0.61,-0.049,B9III,15.275879,0
3.56,11.26,0.73,1.214,K2III,13.817692,0
9.17,1.2,1.36,0.993,K0III,14.565907,0
2.66,32.81,0.62,0.16,A5Vv SB,15.240031,1
8.25,20.84,0.88,0.646,G3V,19.844488,1
7.32,23.18,0.92,0.622,G0V,19.145567,1
9.26,1.99,1.57,1.149,K0III,15.754266,0
9.18,16.84,1.28,0.679,G6V,20.31171,1
9.27,6.92,2.51,0.61,G1V,18.470531,1
8.49,9.73,1.5,0.614,G0V,18.430565,1
7.39,2.05,0.68,-0.013,B2V,13.948769,1
8.4,1.68,1.18,1.166,K1III/IV,14.5265465,1
6.82,11.33,0.89,0.257,A7III,17.09115,0
7.65,1.16,0.67,1.503,K4III,12.97229,0
10.74,28.69,3.28,1.101,K8V:,23.028652,1
6.68,5.13,0.79,0.986,G9III,15.230587,0
8.42,4.14,1.05,1.005,G8III,16.505001,0
9.29,3.41,0.91,1.096,K1/K2III,16.953772,0
8.66,1.39,1.1,1.507,K5III,14.375074,0
7.36,12.53,0.72,0.36,F2V,17.849754,1
9.15,3.18,0.94,1.438,K2/K3III,16.662136,0
7.42,15.9,0.97,0.51,F6V,18.426987,1
7.9,2.77,0.89,1.157,K1III,15.1124,0
8.04,4.6,1.05,1.039,G9III-IV,16.35379,1
9.26,5.4,1.5,1.238,K2/K3III:,17.921968,0
5.5,10.65,0.51,-0.046,B9V,15.636747,1
7.72,18.22,0.95,0.62,G0V,19.022741,1
7.17,6.23,0.94,1.002,G8/K0III,16.14244,0
9.75,15.12,1.49,0.814,G8IV,20.647758,1
7.68,3.48,1.04,1.028,K0III,15.387896,0
8.94,5.97,1.42,0.409,F0V,17.81987,1
8.31,7.07,1.19,0.584,F7V,17.557098,1
8.05,1.34,0.85,1.548,K4/K5III,13.685524,0
9.24,9.02,1.07,0.529,F8V,19.016033,1
4.78,16.48,0.8,0.12,A5IV-V,15.864786,1
6.02,12.47,1.28,0.312,F0IV,16.499332,1
7.98,11.12,1.08,0.396,F2V,18.210524,1
8.51,0.58,1.06,0.616,B3Ia,12.32714,0
8.03,7.47,1.0,0.435,F5V,17.396603,1
7.71,7.73,1.13,0.5,F0III/IV+..,17.150898,1
8.49,5.67,0.78,0.426,F2II/III,17.257915,0
8.81,2.72,1.33,1.473,M3II,15.982845,0
7.07,18.84,0.62,0.508,F6V,18.445404,1
8.12,5.83,1.07,1.117,K1III,16.948343,0
9.16,-1.67,1.78,1.045,G8III,15.273582,0
10.3,0.63,1.67,0.254,F0/F2V,14.296703,1
5.45,3.19,0.77,0.886,G5III,12.968954,0
8.57,7.79,1.16,0.874,G8/K0V,18.027687,1
7.55,2.03,0.66,1.227,K2III,14.087481,0
7.73,6.03,0.72,0.33,A9IV,16.631586,1
7.43,16.35,0.66,0.482,F5IV-V,18.49759,1
6.94,2.51,0.64,1.504,K4II/IIICNV:,13.938368,1
6.68,20.41,0.58,0.987,K0IV,18.229216,1
8.75,4.39,1.3,0.44,F2V,16.962322,1
8.5,7.25,1.01,0.593,F8/G0V,17.80169,1
7.86,3.51,0.98,0.059,A3III,15.586536,0
9.27,11.26,1.24,0.652,G2V,19.527693,1
8.38,2.46,1.06,1.1,K1III,15.334676,0
7.71,5.02,0.87,1.038,G8III,16.21352,0
8.14,2.71,0.9,0.972,G8III,15.304847,0
9.07,1.32,1.32,0.97,G8III,14.67287,0
7.62,17.21,0.76,0.758,G5IV/V,18.798904,1
8.11,1.27,1.16,1.067,K0III,13.629019,0
9.01,3.3,1.28,1.096,K1III,16.60257,0
8.14,14.25,0.83,0.593,G0V,18.909073,1
8.13,0.53,0.85,0.154,B0.5IIIn...,11.751379,0
8.21,1.97,0.98,1.557,K5III,14.682331,0
8.48,-0.45,1.27,2.266,M2III,11.746062,0
4.44,10.69,0.78,1.5,K5III,14.584888,0
9.6,5.72,1.68,0.425,F3/F5V,18.38698,1
9.09,0.18,1.16,1.424,K3/K4III,10.366363,0
8.88,6.88,1.18,0.455,F5V,18.067944,1
9.24,2.36,1.23,0.983,G5/G6III/IV,16.104559,1
7.45,4.36,0.79,0.045,A0V,15.647432,1
6.09,8.62,0.72,1.125,K1/K2III,15.767536,0
8.84,4.37,1.17,1.042,K0III,17.042408,0
7.62,6.23,0.89,0.293,A9IV,16.592442,1
9.9,2.76,1.31,0.451,F3IV,17.104546,1
7.94,2.79,0.95,-0.023,B2IVne+...,15.168021,1
7.85,20.82,0.79,0.556,F8/G0V,19.442404,1
7.35,3.47,0.87,1.169,K0III,15.051647,0
8.38,5.71,1.49,0.427,F5IV/V,17.163181,1
9.22,2.55,1.5,0.993,G8IV,16.2527,1
8.45,0.87,1.1,1.611,M2III,13.147596,0
9.37,3.39,1.22,1.06,K0III,17.021,0
7.3,5.8,1.06,1.117,K0III,16.11714,0
7.17,1.16,0.82,1.537,M1III,12.4922905,0
8.19,3.68,0.88,1.138,K1IIICN...,16.01924,0
6.25,5.34,0.77,1.368,K4IIIb,14.887706,0
8.68,5.87,1.7,0.485,F3V,17.523191,1
7.03,16.53,0.82,0.415,F6V,18.121365,1
8.49,5.49,1.09,1.107,K1IV,17.187862,1
9.8,4.4,1.59,0.669,G3/G5V,18.017263,1
9.27,7.71,4.08,0.645,G5V,18.705273,1
8.71,3.1,1.06,0.922,G8III,16.16681,0
8.37,11.18,1.08,0.428,F5V,18.61221,1
6.44,7.25,0.71,1.094,K1IIICN...,15.74169,0
9.12,5.1,0.9,0.463,F5IV/V,17.657852,1
7.83,2.91,0.97,1.256,K2III,15.149465,0
10.05,10.47,1.42,0.563,F8V,20.149734,1
9.9,48.17,1.73,1.318,K7V,23.313883,1
5.59,5.19,0.77,1.185,K1III,14.165836,0
7.03,2.95,0.96,1.605,M0/M1III,14.37911,0
8.76,-0.13,1.41,1.551,M3III,9.329717,0
7.96,5.81,1.33,0.544,F6/F7V,16.78088,1
9.11,3.8,0.85,1.376,K3III,17.008919,0
8.21,4.39,1.24,0.373,F3III/IV,16.422321,1
8.07,3.86,1.1,0.088,A2IV/V,16.002937,1
6.51,5.62,0.73,0.181,A2III,15.258682,0
8.61,11.96,1.03,0.607,G3V,18.998655,1
10.58,2.82,2.02,1.316,M7III,17.831245,0
9.49,7.26,1.35,0.524,F6V,18.794683,1
8.91,-0.39,0.92,1.576,K4/K5V:,11.865322,1
5.55,2.86,0.7,1.388,G5II,12.831831,0
4.67,8.64,0.81,1.047,K0III...,14.352569,0
8.12,2.93,0.92,0.947,K0III,15.454338,0
7.96,2.95,0.82,0.973,K0IIICN...,15.309111,0
7.66,4.1,0.85,1.298,K4III,15.723919,0
8.44,1.51,0.79,1.3,K2III,14.334885,0
8.94,6.86,1.41,0.348,F0V,18.12162,1
6.59,56.76,0.53,0.749,G6V,20.360212,1
6.15,31.39,1.03,0.603,G2V,18.633957,1
8.92,19.12,1.25,0.76,G8V,20.32744,1
5.81,9.06,0.78,1.466,K5III,15.595642,0
6.71,7.29,0.72,0.264,A9V,16.023638,1
7.97,1.52,1.08,1.077,G8III,13.879217,0
8.25,6.04,1.0,0.462,F3V,17.155186,1
9.04,9.78,1.2,0.52,G0V,18.991695,1
9.19,-0.76,1.23,1.547,M2III:,13.594068,0
6.88,6.89,0.91,1.293,K2III,16.071095,0
8.67,5.3,1.3,0.428,F2V,17.291378,1
8.94,6.04,1.15,0.536,F7V,17.845184,1
6.54,7.14,0.82,0.97,G8II,15.808492,0
9.58,4.92,1.34,0.593,F7/F8V,18.039825,1
7.31,6.73,0.9,0.402,F2IV,16.450075,1
7.48,24.65,0.91,0.589,G1V,19.439085,1
9.82,0.95,1.59,1.477,K5III,14.708618,0
8.76,2.05,1.27,1.743,M0/M1III:,15.318769,0
6.19,25.59,0.75,0.386,F2IV,18.230352,1
9.64,1.23,1.24,0.57,B1Ib,15.089526,0
7.98,2.94,1.1,1.212,K1/K2III,15.321737,0
9.22,6.94,0.89,0.55,F5/F6V,18.426798,1
5.91,9.95,0.89,0.97,G9III,15.899115,0
10.45,14.6,1.81,1.072,K7V:,21.271763,1
6.87,2.77,0.95,1.66,M0III,14.082399,0
8.77,1.77,1.26,1.108,G8/K0III,15.009867,0
7.03,2.97,0.86,1.557,K4III,14.393782,0
5.83,12.47,0.63,0.569,F6V,16.309332,1
8.86,9.06,1.17,0.395,F3III/IV,18.645641,1
8.64,1.44,1.37,1.397,K3III,14.431812,0
10.1,4.33,1.54,0.46,F5V,18.28244,1
7.49,0.81,0.79,1.38,K3IIICN...,12.032425,0
6.66,21.62,0.68,0.462,F5IV/V,18.334278,1
6.62,2.9,0.77,1.531,K5III,13.93199,0
9.38,3.96,1.34,0.705,G8V,17.368477,1
8.36,11.81,0.99,0.531,F6/F7V,18.721249,1
9.72,1.62,1.45,0.458,F2V,15.767575,1
8.08,1.63,0.9,1.438,K5III,14.140938,0
8.99,6.99,1.24,0.549,F6V,18.212385,1
6.98,6.72,1.37,1.046,K0III,16.116846,0
7.14,2.38,0.82,1.655,M3III,14.022884,0
8.85,2.38,1.16,1.255,K1/K2III,15.732885,0
8.47,2.92,0.89,1.289,K2III,15.796914,0
8.38,0.75,1.06,1.48,G5III,12.755306,0
6.98,12.21,0.64,0.309,F0IV,17.413578,1
8.67,2.84,0.83,0.294,F0III,15.936592,0
7.3,20.34,1.04,0.694,G3V,18.841755,1
9.45,2.07,1.37,1.115,G8/K0IV,16.029852,1
8.5,5.87,1.29,0.46,F3V,17.343191,1
7.33,0.67,0.7,1.036,G6/G8II/III,11.460374,0
9.73,7.56,1.55,0.501,F6/F7V,19.122608,1
6.44,21.53,0.83,0.847,K0IV,18.10522,1
5.29,12.69,0.63,0.002,A0Vn,15.807309,1
8.72,4.76,1.07,0.462,F5V,17.108036,1
7.13,3.16,0.96,1.64,M2III,14.628435,0
6.82,3.9,0.79,1.425,K3III,14.775324,0
8.18,16.72,1.1,0.53,F7V,19.29618,1
7.88,8.55,1.56,0.615,F7/F8V,17.53983,1
8.74,2.36,1.11,0.18,A3V,15.604559,1
9.56,99.44,1.39,1.463,K5V...,24.547806,1
7.01,14.04,1.14,0.625,G0V,17.746836,1
9.83,4.59,1.67,0.559,F7/F8IV,18.139065,1
6.8,2.5,0.94,1.578,M2III,13.7897005,0
9.12,3.36,1.28,1.404,K3III:,16.751698,0
9.8,5.9,1.35,0.536,F6V,18.65426,1
5.94,4.54,0.76,-0.003,B9IIIn,14.225279,0
9.25,1.2,1.34,0.891,G8III/IV,14.645906,1
8.71,1.47,1.0,1.259,K2/K3III,14.546587,0
9.91,2.79,2.37,0.446,F5V,17.138021,1
10.96,0.19,1.49,-0.049,B2.5Iab:,12.353767,0
8.05,4.44,1.2,0.98,G8II,16.286915,0
8.49,2.77,1.11,1.356,K3III,15.702399,0
9.34,9.42,1.1,0.645,G3V,19.210255,1
9.08,3.67,1.33,1.094,K1III,16.90333,0
7.81,15.02,0.83,0.607,G0V,18.69335,1
6.85,20.01,0.87,0.569,F8V,18.356236,1
9.63,7.15,1.06,0.594,F7V,18.901531,1
8.01,16.99,0.99,0.656,G5IV/V,19.160967,1
9.23,1.69,2.05,0.489,F6IV,15.369432,1
8.12,5.94,1.05,1.172,K1III,16.988932,0
6.34,6.34,0.62,-0.011,A0Vnn,15.350447,1
8.45,3.4,0.81,0.098,A2V,16.107395,1
9.3,6.01,1.64,1.169,K1/K2III,18.194374,0
7.68,2.54,2.07,1.024,K0III,14.704168,0
7.64,1.46,0.97,1.533,M0III,13.461764,0
8.71,2.33,1.23,0.941,G8III,15.54678,0
7.39,3.24,1.03,-0.165,B4V,14.942724,1
5.83,5.68,1.09,0.743,K1III+...,14.601742,0
8.38,6.5,0.81,0.43,F3/F5V,17.444569,1
7.76,5.33,0.71,1.095,K1III,16.393637,0
7.8,2.77,0.99,1.208,K2III,15.0124,0
6.74,8.67,0.89,1.136,K0III,16.430096,0
8.7,0.7,1.18,1.009,G8III,12.925489,0
9.39,6.28,2.48,0.443,F3V,18.379799,1
7.98,4.41,0.82,0.97,G9III,16.202192,0
8.35,6.9,1.41,0.437,F3/F5V,17.544247,1
7.11,8.6,1.43,0.433,F5IV/V,16.782494,1
7.89,1.58,1.13,1.642,M2III,13.8832855,0
6.51,4.65,0.75,-0.07,B8IIIMNp...,14.847265,0
6.47,8.65,0.94,0.242,A4Vm,16.155079,1
9.08,3.71,4.96,0.495,F7V,16.92687,1
8.74,2.68,1.12,1.118,K1III,15.880674,0
9.0,66.46,1.27,1.289,K7V,23.1128,1
7.48,2.08,1.1,1.185,K1III,14.070316,0
8.77,1.89,1.32,1.282,K2III,15.152309,0
6.25,5.98,0.95,1.225,K3III,15.133506,0
9.41,5.85,1.39,0.75,G6V,18.245779,1
8.98,4.94,1.1,0.94,G8III,17.448635,0
9.07,10.93,1.55,0.68,G3V,19.2631,1
8.85,7.79,2.24,0.631,G3:V: + G2:,18.307688,1
9.14,2.59,0.91,1.019,K0III,16.2065,0
9.43,2.26,1.53,0.39,A5V,16.200542,1
7.39,3.7,0.93,1.417,K5III,15.231009,0
7.11,3.65,0.87,1.528,M4III:,14.921465,0
7.48,2.2,0.85,1.64,M4III,14.192114,0
5.9,5.46,0.74,1.536,M2III,14.585962,0
8.38,7.21,0.72,0.404,F3IV/V,17.669676,1
8.34,2.28,0.77,0.918,G8III,15.129675,0
10.28,6.72,2.13,0.405,F6/F7IV/V,19.416847,1
9.09,2.76,1.43,1.478,K3/K4III:,16.294546,0
9.39,4.39,1.51,0.448,F2V,17.602322,1
6.32,6.95,0.81,1.099,G9III:,15.529924,0
9.42,6.37,2.74,0.519,F6V,18.440697,1
7.79,0.93,0.96,0.364,A1Iab,12.632415,0
6.25,2.45,0.69,-0.042,B9IIIp Mn,13.19583,0
5.76,122.75,1.41,0.88,K0V,21.205109,1
5.92,23.46,1.02,0.302,F2Vw,17.77164,1
7.15,5.0,0.9,1.2,K3III,15.64485,0
8.76,9.45,1.08,0.546,F7V,18.63716,1
6.6,8.06,0.74,-0.04,A0III,16.131676,0
8.68,7.89,2.34,0.529,F5V,18.165386,1
8.07,23.61,1.03,0.651,G3/G5V,19.93548,1
10.36,52.71,5.18,1.34,K6V:,23.969465,1
8.83,21.22,1.32,0.761,K1V,20.463728,1
8.77,3.59,0.96,1.157,K2III,16.545473,0
7.17,16.15,0.6,0.587,F8/G0V,18.210863,1
5.42,11.31,0.85,0.146,A5III,15.687313,0
7.1,5.22,0.6,0.906,G8III,15.688353,0
8.19,3.64,1.03,0.97,K1III,15.995506,0
7.65,3.47,0.99,1.368,K2III,15.351647,0
9.29,7.89,1.37,0.657,G5V,18.775385,1
7.52,4.12,1.01,0.99,G8III,15.594486,0
8.6,2.45,1.22,0.741,G5IIIm,15.545831,0
9.49,16.32,0.99,0.739,G5V,20.5536,1
8.57,5.54,1.17,0.3,A8III,17.287548,0
2.04,34.04,0.82,1.019,K0III,14.699948,0
8.01,2.89,1.07,0.912,G8III/IV,15.314489,1
8.37,3.25,1.5,0.952,G8III,15.929417,0
7.54,6.94,0.79,0.203,A4IV/V,16.746798,1
8.11,3.63,0.96,1.109,K1III,15.9095335,0
12.1,269.05,7.57,1.85,M5.5Ve,29.249165,1
7.95,6.12,0.97,1.067,K0III-IV,16.883757,1
8.1,7.67,1.1,0.944,K0IV,17.523977,1
7.49,0.65,0.67,1.645,M3III,11.554566,0
8.78,1.29,1.02,1.156,K2III,14.332949,0
6.26,6.17,0.84,1.013,K1III,15.211426,0
8.98,3.36,1.48,0.966,K0IV,16.611696,1
7.35,8.87,1.48,1.205,M5III,17.089619,0
5.89,3.81,0.71,-0.146,B2.5IV,13.794624,1
7.44,-0.47,1.17,1.633,K2/K3IIICNp,10.800489,0
5.38,12.69,0.72,1.069,K0III,15.897309,0
6.89,11.66,1.54,0.362,F2/F3V,17.223492,1
9.27,11.94,1.24,0.576,F8/G0V,19.655022,1
9.5,5.59,1.5,0.493,G:III/IV+..,18.23706,1
9.45,0.63,1.15,1.415,K3V,13.446703,1
6.98,3.31,1.11,1.6,M5III,14.57914,0
7.68,2.96,0.87,1.57,K2V,15.036459,1
7.18,1.72,0.81,1.303,G0Ib,13.357642,0
8.79,7.79,0.91,0.88,K0IV/V,18.247688,1
9.35,2.9,1.28,0.921,G8IV,16.661991,1
7.02,8.41,1.01,1.099,K2III,16.64398,0
8.44,3.43,1.18,1.217,K1III,16.11647,0
7.09,7.03,0.89,0.999,K0III,16.324776,0
7.82,3.11,1.03,1.323,K2/K3III,15.283802,0
9.47,2.76,1.56,0.442,F3V,16.674545,1
8.52,3.71,1.19,1.175,K0III,16.36687,0
5.08,6.45,0.63,-0.098,B7III,14.127798,0
8.11,1.67,1.1,1.579,M1III,14.223581,0
8.86,2.32,1.09,1.096,G1Ibvar,15.687439,0
7.37,5.11,0.84,0.167,A3V,15.912105,1
7.91,31.35,1.28,0.799,K0V,20.391188,1
8.39,3.68,0.99,1.367,K3III,16.21924,0
8.45,1.26,1.06,1.467,K4III,13.951853,0
9.21,3.5,1.17,0.36,A9V,16.93034,1
8.06,2.14,0.93,1.378,K3III,14.7120695,0
7.87,9.31,0.82,0.23,A7Vn,17.714748,1
8.67,0.49,1.35,0.263,B2IV,12.12098,1
5.7,8.79,0.53,1.264,K2/K3III,15.419944,0
6.78,9.06,0.56,0.451,F3III,16.565641,0
7.23,2.76,0.9,1.593,K5III,14.4345455,0
9.34,6.37,2.22,0.771,G5IV/V,18.360697,1
9.72,6.07,0.94,0.57,F8V,18.635944,1
9.25,9.57,1.38,0.465,F5V,19.15456,1
8.8,4.94,1.29,0.331,A8III,17.268635,0
9.21,3.97,1.4,0.533,F6V,17.203953,1
3.95,20.12,0.56,-0.002,A2V,15.46814,1
7.88,14.56,1.06,0.447,F3V,18.695807,1
7.33,25.39,0.62,0.629,G1V,19.353313,1
4.34,19.34,0.76,0.871,G5III...,15.772284,0
9.07,0.42,1.22,0.68,K0IIIp,12.186246,0
8.11,5.17,1.74,1.031,K0III/IV,16.677452,1
7.44,5.17,0.92,1.279,K1/K2III,16.007452,0
9.14,2.93,1.38,1.08,K0III,16.474339,0
6.99,4.25,0.78,1.187,K0III,15.131945,0
7.81,7.56,0.99,0.449,F5V,17.202608,1
8.92,12.57,1.05,0.609,G0V,19.416676,1
9.71,-0.04,1.5,0.442,F8IIIvar,7.7202997,0
8.91,4.04,0.99,1.047,G8IIICN...,16.941906,0
9.26,4.59,1.29,0.3,A7IV,17.569065,1
9.4,7.39,0.96,0.506,F6V,18.743221,1
9.27,5.5,1.45,0.528,F6V,17.971813,1
8.9,3.99,1.14,1.403,K3III,16.904865,0
6.85,1.79,0.81,1.6,M4III,13.114265,0
8.77,14.87,1.19,0.531,F8V,19.631554,1
9.39,7.04,1.42,0.552,G2/G3V,18.627865,1
8.71,5.42,0.85,0.452,F3V,17.379997,1
8.76,4.07,1.22,1.077,K1III,16.807972,0
9.0,2.24,1.16,0.003,B9V,15.75124,1
10.12,2.83,1.66,0.364,A0V,17.378933,1
7.86,10.58,1.04,0.759,G5IV,17.982428,1
8.06,27.87,0.69,0.849,K0IV/V,20.285686,1
9.15,2.75,1.14,0.363,F0III,16.346664,0
8.66,2.38,0.88,0.79,G3III,15.542885,0
8.32,0.25,1.19,1.385,K2III,10.3097,0
9.81,0.93,1.43,0.277,A8/A9V,14.652415,1
4.79,24.49,0.78,0.29,F0V,16.734943,1
6.77,38.86,0.83,0.648,G5V,19.717514,1
7.45,9.78,0.64,0.332,A9/F0IV,17.401695,1
7.01,29.65,0.71,0.567,F8V,19.370125,1
8.73,0.85,1.02,1.321,K3III,13.377094,0
9.2,4.06,1.12,0.228,A5III,17.24263,0
6.18,13.01,0.76,0.447,F5III,16.751387,0
9.67,2.19,1.68,0.524,F3/F5V,16.372221,1
9.69,2.8,1.12,1.258,K3III:,16.925789,0
9.95,4.01,1.62,0.5,F6V,17.965721,1
8.03,2.9,0.87,1.146,K1IIICN...,15.3419895,0
8.49,4.61,1.26,0.34,F0V,16.808504,1
9.08,2.61,1.53,1.296,K1/K2III,16.163202,0
7.87,3.96,1.04,1.047,K0III,15.858477,0
7.46,5.31,0.88,0.729,G8III+...,16.085472,0
7.61,2.84,0.73,1.626,M2/M3III,14.876593,0
6.63,2.53,0.62,1.697,M1III,13.645603,0
7.34,3.15,0.65,1.496,M0III,14.8315525,0
5.14,4.97,0.78,1.587,K5III,13.62178,0
9.38,7.63,1.46,0.643,G5V,18.792622,1
8.43,4.06,1.16,1.484,K4III,16.47263,0
9.49,8.31,1.44,0.476,F6V,19.088005,1
8.7,4.58,0.88,0.954,G8III,17.004328,0
8.66,21.09,1.23,0.743,G8/K0V,20.280384,1
7.72,24.8,0.89,0.613,G3IV,19.692257,1
6.58,5.18,0.71,1.189,K2III,15.1516485,0
8.8,2.23,1.04,1.004,K1III,15.541525,0
8.07,0.64,1.12,1.322,K2:III:,12.100899,0
9.12,2.4,1.13,0.687,G6V,16.021057,1
9.4,3.98,1.51,0.98,K0III,17.399414,0
5.73,5.32,0.56,1.574,M4III,14.359558,0
9.81,3.85,1.39,0.437,F3V,17.737305,1
6.06,17.66,0.72,0.271,F1V,17.294952,1
6.39,8.41,0.77,1.122,K1III,16.013979,0
9.19,8.06,1.33,0.626,G1V,18.721676,1
9.62,1.75,1.26,1.116,K2/K3III,15.83519,0
8.96,11.64,1.36,0.62,G3V,19.289764,1
7.93,0.72,0.89,-0.05,B1.5II,12.216662,0
7.1,3.9,1.05,1.494,M3III,15.055323,0
8.06,37.33,0.97,0.758,K1V,20.92029,1
8.76,12.01,1.22,0.534,F6V,19.157715,1
8.77,0.95,1.17,1.071,K0III/IV,13.658619,1
8.95,7.26,0.95,0.513,F5V,18.254684,1
7.31,14.28,0.92,0.493,F6V,18.083641,1
9.84,5.02,1.48,0.434,F3V,18.34352,1
8.32,3.25,0.86,0.936,G6III,15.879416,0
5.41,5.61,0.92,1.346,K2III,14.154814,0
8.79,1.16,1.17,1.234,K3III,14.112289,0
8.82,13.43,1.16,0.537,F8IV,19.46038,1
8.34,7.29,1.17,1.008,K1III,17.653637,0
8.81,0.16,1.08,0.26,B2III,9.830601,0
7.89,9.01,0.94,1.027,K0IV,17.663624,1
7.7,3.05,1.62,1.198,G7III,15.121499,0
8.54,11.65,0.8,0.551,F7V,18.87163,1
9.93,3.5,0.98,0.522,F7V:,17.650341,1
7.83,4.32,0.9,0.104,A0V,16.00742,1
6.01,18.76,0.92,1.107,K1III,17.376165,0
9.41,11.37,1.51,0.629,G3V,19.6888,1
6.92,0.07,0.76,1.852,K3Ib,6.14549,0
9.54,9.8,1.33,0.722,G6V,19.49613,1
8.9,2.74,1.19,1.064,K0III,16.088753,0
9.6,2.62,1.85,0.415,F2V,16.691507,1
9.13,3.68,1.25,1.066,K1III,16.95924,0
4.25,48.94,0.53,0.48,F6IV,17.698318,1
8.85,3.42,0.86,1.071,K1III,16.52013,0
8.22,11.98,1.7,0.614,F8V,18.612286,1
8.74,11.1,1.27,0.601,G2V,18.966614,1
11.21,20.26,2.65,1.47,M1Vvar,22.743198,1
9.21,6.6,1.1,0.38,F0IV/V,18.30772,1
9.1,0.92,1.07,1.137,K0III,13.91894,0
6.67,5.96,0.76,1.349,K3III,15.546231,0
8.4,0.8,1.84,0.413,F2IV/V,12.915449,1
8.71,5.93,0.98,1.141,K0III,17.575274,0
8.05,9.67,1.51,0.609,G0IV/V,17.97713,1
8.2,2.54,0.77,1.17,K1III,15.224169,0
9.09,1.78,1.09,1.223,K2III,15.3421,0
8.85,4.54,1.24,1.273,K2III,17.13528,0
